Attack_ID,Attack_Type,Target_Industry,Location,Date,Severity,Damage_Estimate(USD),Affected_Systems
1,SQL Injection,Defense,India,2019-10-07,Low,797711,568
2,DDoS,Retail,Brazil,2020-12-08,High,4456496,834
3,Phishing,Healthcare,South Korea,2021-09-05,Medium,983859,102
4,DDoS,Finance,France,2015-01-22,Low,90369,962
5,DDoS,Finance,France,2020-12-01,Low,1232999,99
6,Malware,Retail,USA,2019-12-16,Critical,4972237,541
7,SQL Injection,Retail,India,2020-06-20,High,2868627,484
8,Malware,Technology,USA,2019-06-23,Medium,4815876,286
9,DDoS,Education,India,2024-03-01,High,3546803,995
10,Malware,Energy,France,2017-09-24,Medium,4441053,558
11,Man-in-the-Middle,Defense,Russia,2023-12-10,Medium,1268374,409
12,DDoS,Technology,South Korea,2022-12-13,Critical,4919149,759
13,DDoS,Government,France,2016-12-28,Medium,1231731,450
14,DDoS,Education,Germany,2024-01-30,Critical,3796,175
15,Malware,Healthcare,Russia,2024-08-21,Medium,3452691,791
16,Phishing,Defense,France,2023-06-18,High,2364296,826
17,SQL Injection,Defense,South Korea,2020-04-27,Critical,323540,529
18,Brute Force Attack,Telecommunications,South Korea,2019-06-01,High,2486629,363
19,Cross-site Scripting (XSS),Education,Russia,2017-12-02,Critical,2705226,582
20,Brute Force Attack,Telecommunications,India,2019-10-14,Medium,1217799,128
21,Zero-day Exploit,Education,India,2020-06-09,Critical,1342288,59
22,Brute Force Attack,Government,Brazil,2019-10-24,Low,3332867,378
23,Brute Force Attack,Telecommunications,China,2017-11-16,Low,416820,587
24,Malware,Government,Germany,2022-10-03,Low,1444355,26
25,SQL Injection,Healthcare,USA,2017-11-19,Low,2575248,497
26,Malware,Technology,South Korea,2020-03-20,High,4312440,76
27,Cross-site Scripting (XSS),Defense,France,2020-09-22,High,2391965,763
28,Malware,Energy,Japan,2017-02-23,Critical,3193732,555
29,Cross-site Scripting (XSS),E-commerce,UK,2020-08-11,High,4501595,156
30,Man-in-the-Middle,E-commerce,Germany,2016-01-20,Low,2275799,876
31,SQL Injection,Technology,China,2018-02-13,Medium,3493269,183
32,Ransomware,Technology,Germany,2024-11-11,Critical,177467,336
33,Zero-day Exploit,Education,India,2024-12-29,High,1481219,539
34,DDoS,E-commerce,Germany,2021-02-10,High,429356,940
35,Man-in-the-Middle,Healthcare,Germany,2016-12-23,High,1778621,790
36,Malware,Telecommunications,Brazil,2022-11-28,Low,3022415,837
37,Brute Force Attack,Healthcare,Russia,2018-01-13,Low,1193627,954
38,Man-in-the-Middle,Healthcare,China,2017-06-08,Critical,1081894,536
39,Cross-site Scripting (XSS),Education,China,2022-04-25,Low,3498862,122
40,Cross-site Scripting (XSS),Healthcare,South Korea,2018-12-23,High,2302494,710
41,SQL Injection,E-commerce,South Korea,2015-09-09,Critical,2290888,124
42,Phishing,Education,UK,2017-09-24,Low,4936116,360
43,Privilege Escalation,Government,France,2021-12-31,Critical,300670,548
44,SQL Injection,Healthcare,UK,2020-03-10,Critical,1359908,482
45,SQL Injection,Education,France,2020-09-13,Medium,3142310,535
46,Phishing,Finance,UK,2024-02-06,Critical,4083617,875
47,DDoS,E-commerce,South Korea,2021-02-26,High,409912,938
48,SQL Injection,Energy,Japan,2024-01-23,Low,2310645,859
49,DDoS,Energy,India,2020-12-31,High,3875880,902
50,Ransomware,Healthcare,Germany,2017-12-14,Low,1626566,594
51,Privilege Escalation,Telecommunications,South Korea,2020-11-16,Medium,2835046,605
52,Ransomware,Government,Brazil,2023-05-29,Critical,2379132,451
53,Phishing,E-commerce,UK,2018-03-01,Low,4687501,295
54,Brute Force Attack,Government,South Korea,2016-04-26,Critical,1150019,678
55,Ransomware,Telecommunications,France,2019-04-10,Critical,3203762,723
56,Malware,Healthcare,South Korea,2016-08-23,Medium,1060501,129
57,Man-in-the-Middle,Finance,South Korea,2018-10-23,High,3367463,680
58,DDoS,Energy,Germany,2016-08-24,Critical,344350,220
59,Cross-site Scripting (XSS),Finance,Brazil,2018-05-30,Critical,3527864,492
60,Cross-site Scripting (XSS),Energy,Brazil,2015-04-12,High,4484164,320
61,Malware,Finance,South Korea,2020-10-01,Medium,2180197,99
62,Ransomware,Education,South Korea,2024-10-31,High,2355593,938
63,Brute Force Attack,E-commerce,France,2020-03-16,Low,1641948,452
64,SQL Injection,Government,South Korea,2019-02-07,Critical,662775,688
65,SQL Injection,Government,UK,2021-08-20,Low,322805,596
66,Ransomware,Technology,China,2024-05-20,Medium,1793261,445
67,Cross-site Scripting (XSS),Retail,Brazil,2016-11-17,High,3750783,920
68,Ransomware,Defense,USA,2024-05-05,Low,32910,88
69,Zero-day Exploit,Retail,China,2022-11-26,Low,1451363,481
70,Malware,Energy,Russia,2017-12-21,Medium,4492353,47
71,Privilege Escalation,Retail,USA,2019-08-12,High,1766116,921
